Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
A1,0.8306,0.00359,0.861,0.00677,0.114,0.00247,8.5531,0.09885,0.0192,1.501,1
A2,0.8728,0.00411,0.6126,0.00535,0.1202,0.00422,7.8411,0.12102,0.0213,1.711,0
A3,0.8499,0.00436,0.6215,0.00564,0.127,0.00473,7.8561,0.12403,0.0227,1.842,0
A4,0.8475,0.00423,0.6319,0.0055,0.1264,0.0045,7.8344,0.11998,0.022,1.778,0
A5,0.8826,0.00367,0.6285,0.00489,0.122,0.00391,8.1384,0.1085,0.0195,1.547,1
A6,0.8592,0.00389,0.8263,0.00877,0.1083,0.00271,8.4153,0.11297,0.0205,1.601,0
A7,0.8437,0.0047,0.5959,0.00603,0.1297,0.00552,8.0211,0.1348,0.0249,2.053,0
A8,0.8523,0.00609,0.5646,0.00767,0.1279,0.00788,7.3005,0.18327,0.0304,2.497,0
A9,0.8539,0.00563,0.5367,0.00689,0.1403,0.00834,7.3362,0.1615,0.0283,2.351,0
A10,0.8568,0.00613,0.5616,0.00764,0.1352,0.00851,7.3647,0.17924,0.0308,2.523,0
A11,0.8689,0.00616,0.5268,0.00749,0.1462,0.00964,7.4697,0.17482,0.0313,2.58,0
A12,0.8705,0.00526,0.601,0.00897,0.1223,0.00605,7.4863,0.15806,0.0265,2.155,0
B1,0.8293,0.00475,0.5751,0.006,0.1295,0.00579,7.7426,0.13797,0.0246,2.065,0
B2,0.8579,0.00606,0.5108,0.00733,0.1417,0.0095,7.1804,0.17412,0.0303,2.528,0
B3,0.8558,0.0067,0.4969,0.00809,0.1455,0.01129,7.3548,0.19445,0.0339,2.862,0
B4,0.8562,0.00646,0.5085,0.00777,0.1473,0.01049,7.3036,0.18241,0.0325,2.724,0
B5,0.8603,0.00599,0.5194,0.00727,0.1456,0.00956,7.4187,0.17035,0.0304,2.53,0
B6,0.8276,0.00531,0.5684,0.00947,0.1206,0.00652,7.2577,0.16494,0.0262,2.244,0
B7,0.8318,0.00472,0.5814,0.00597,0.1294,0.00569,7.6823,0.13644,0.0243,2.029,0
B8,0.8529,0.00585,0.4931,0.00707,0.1453,0.00992,7.445,0.17015,0.0298,2.533,0
B9,0.8544,0.0061,0.4777,0.00734,0.1483,0.01099,7.4747,0.17837,0.0312,2.667,0
B10,0.8603,0.00599,0.5017,0.0072,0.1445,0.0097,7.2069,0.17136,0.03,2.507,0
B11,0.8668,0.00619,0.511,0.00746,0.139,0.00937,7.1835,0.18302,0.0305,2.533,0
B12,0.8752,0.00596,0.5411,0.00729,0.1438,0.00873,7.5424,0.1662,0.0305,2.49,0
C1,0.8304,0.00482,0.5704,0.00603,0.1295,0.00586,7.5285,0.13884,0.0246,2.057,0
C2,0.8452,0.00575,0.4942,0.007,0.1433,0.00966,7.57,0.1698,0.0296,2.535,0
C3,0.8525,0.00578,0.4916,0.00699,0.1437,0.0097,7.4373,0.16954,0.0295,2.504,0
C4,0.8675,0.00577,0.4874,0.00695,0.1498,0.01028,7.397,0.16357,0.0295,2.476,0
C5,0.857,0.00575,0.5036,0.00698,0.1424,0.00931,7.3776,0.16738,0.0292,2.454,0
C6,0.8803,0.00588,0.5448,0.00718,0.1447,0.00862,7.4908,0.16259,0.03,2.43,0
C7,0.8386,0.00509,0.5716,0.00637,0.1327,0.00636,7.6206,0.14507,0.0261,2.176,0
C8,0.8501,0.00583,0.5072,0.00709,0.142,0.00934,7.4597,0.17058,0.0297,2.51,0
C9,0.8575,0.00605,0.4998,0.00732,0.1427,0.00981,7.3763,0.17656,0.0306,2.581,0
C10,0.8607,0.00651,0.4921,0.00783,0.144,0.01081,7.3081,0.18957,0.0328,2.761,0
C11,0.863,0.00625,0.5289,0.00765,0.1389,0.00945,7.254,0.18191,0.0313,2.583,0
C12,0.8759,0.00586,0.5482,0.00715,0.144,0.00842,7.4463,0.16114,0.0298,2.416,0
D1,0.8369,0.00501,0.5804,0.00634,0.1308,0.00606,7.8195,0.14395,0.0261,2.175,0
D2,0.8534,0.00602,0.5232,0.00735,0.1449,0.00946,7.571,0.17261,0.0309,2.587,0
D3,0.8534,0.00633,0.5255,0.00774,0.1441,0.00998,7.5253,0.1829,0.0323,2.702,0
D4,0.8844,0.00661,0.5262,0.00811,0.147,0.0111,7.5292,0.19109,0.0338,2.756,0
D5,0.8585,0.00611,0.5413,0.00748,0.1443,0.00929,7.4509,0.17284,0.031,2.56,0
D6,0.8612,0.00538,0.5531,0.00669,0.1368,0.00734,7.728,0.15459,0.0279,2.298,0
D7,0.8274,0.00399,0.7925,0.00568,0.1219,0.00301,8.2941,0.10358,0.0213,1.672,0
D8,0.8575,0.00456,0.614,0.00581,0.1302,0.00516,7.6286,0.1277,0.0234,1.88,0
D9,0.8556,0.00478,0.6003,0.00607,0.1318,0.00574,7.6675,0.13561,0.0246,1.995,0
D10,0.8594,0.00493,0.6005,0.00619,0.1331,0.00586,7.3966,0.13688,0.0248,1.998,0
D11,0.8629,0.00463,0.6017,0.00583,0.1333,0.00552,7.4693,0.128,0.0235,1.888,0
