Curve,b0,b0.se,A,A.se,umax,umax.se,L,L.se,RSME,CV,outlier
A10,0.8183,0.00139,0.2394,0.00296,0.035,0.00139,13.1705,0.16567,0.0094,1.03,1
A11,0.8235,0.00129,0.2551,0.003,0.0332,0.00112,12.8084,0.15271,0.0085,0.927,1
A12,0.826,0.00103,0.231,0.0025,0.0285,0.00083,12.6601,0.1359,0.0068,0.743,1
B1,0.8257,0.00121,0.2251,0.00273,0.0295,0.00104,12.7026,0.16014,0.008,0.872,1
B2,0.8311,0.00128,0.2279,0.00272,0.0301,0.00108,12.2444,0.16376,0.0082,0.889,1
B3,0.8216,0.00097,0.2104,0.00261,0.0229,0.00066,12.2156,0.14956,0.0062,0.683,1
B6,0.813,0.00106,0.2089,0.00248,0.0269,9e-04,12.7606,0.15269,0.007,0.782,1
B7,0.8193,0.00144,0.2055,0.00301,0.0313,0.00155,13.3676,0.20391,0.0098,1.086,1
B8,0.8213,0.00103,0.2094,0.0028,0.0244,0.00079,13.055,0.15869,0.0069,0.764,1
B9,0.8217,0.00125,0.2321,0.00281,0.0301,0.00105,12.4928,0.16148,0.0081,0.892,1
B10,0.8261,0.00154,0.2315,0.00301,0.0348,0.00153,12.6773,0.18316,0.0101,1.1,1
B11,0.837,0.0011,0.2119,0.00245,0.0268,0.00087,12.2187,0.15365,0.0071,0.769,1
C2,0.8126,0.001,0.2038,0.00237,0.025,0.00079,12.3744,0.14958,0.0065,0.727,1
C3,0.8198,0.00118,0.2115,0.00272,0.0276,0.00102,12.7867,0.1689,0.0078,0.865,1
C4,0.8215,0.00087,0.2015,0.00286,0.0214,0.00062,13.2859,0.14955,0.0058,0.651,1
C5,0.8442,0.00127,0.2168,0.00309,0.0282,0.00113,13.3183,0.18146,0.0085,0.922,1
C6,0.8295,0.00147,0.2198,0.00295,0.0345,0.0016,13.2693,0.18585,0.01,1.091,1
C7,0.8339,0.00157,0.2188,0.0037,0.0232,0.00095,11.1298,0.23379,0.0092,1,1
C11,0.8225,0.00117,0.2055,0.00277,0.0262,0.00098,12.8822,0.17436,0.0077,0.857,1
C12,0.8196,0.00129,0.2102,0.00293,0.0271,0.00108,12.7245,0.18572,0.0085,0.941,1
D1,0.8498,0.00121,0.2084,0.00353,0.0256,0.00107,14.0388,0.19549,0.0083,0.902,1
D2,0.8468,0.00102,0.2232,0.00337,0.025,0.00081,13.8381,0.15917,0.007,0.76,1
D3,0.8337,0.00122,0.2202,0.00261,0.031,0.00115,12.9242,0.15882,0.0081,0.882,1
D6,0.8147,0.00123,0.2152,0.00262,0.0288,0.00106,12.3741,0.16618,0.008,0.884,1
D7,0.8189,0.00128,0.2141,0.00278,0.0289,0.00113,12.6926,0.17559,0.0084,0.928,1
D8,0.8173,0.00123,0.2153,0.00345,0.0245,0.00092,13.1454,0.18973,0.0081,0.909,1
D9,0.8242,0.00113,0.2458,0.00291,0.0318,0.00103,13.4971,0.14381,0.0077,0.841,1
D10,0.8339,0.00107,0.2316,0.00315,0.0257,0.00077,13.1669,0.15143,0.0072,0.783,1
D11,0.8225,0.00107,0.2149,0.00236,0.0289,0.00095,12.6223,0.14549,0.0071,0.781,1
E3,0.8124,0.00103,0.2013,0.00238,0.0248,0.00081,12.2414,0.15533,0.0066,0.743,1
E4,0.8121,0.00114,0.2201,0.00246,0.0284,0.00093,12.1157,0.15066,0.0073,0.812,1
E5,0.8159,0.00118,0.2188,0.00246,0.0306,0.00108,12.4779,0.1531,0.0078,0.858,1
E6,0.8094,0.00112,0.2154,0.00241,0.0287,0.00096,12.3977,0.14981,0.0073,0.816,1
E7,0.8143,0.00111,0.2165,0.00245,0.0283,0.00094,12.327,0.15118,0.0072,0.8,1
